job_id,title,comapany,date,location,place,job_function,employment_type,industries,description
2800158106,Data Scientist,The Home Depot,2021-11-19,United States,"Atlanta, GA",,Full-time,,"Data scientist, Space Optimization link:

https://careers.peopleclick.com/careerscp/client_homedepot/external/gateway.do?functionName=viewFromLink&jobPostId=389943&localeCode=en-us
Show more Show less"
2807091237,Data Scientist,Webmasters4SEO,2021-11-20,United States,United States,,Full-time,,"Job involve designing and developing algorithmic solutions and models and deliver values to

customers using ML and Big data solutions.

The ideal candidate will be passionate about artificial intelligence and stay up-to-date with the

latest developments in the field.

Responsibilities

• Understanding business objectives and developing models that help to achieve them,

along with metrics to track their progress

• Analyzing the ML algorithms that could be used to solve a given problem and ranking them

by their success probability

• Exploring and visualizing data to gain an understanding of it, then identifying differences in

data distribution that could affect performance when deploying the model in the real

world

• Verifying data quality, and/or ensuring it via data cleaning

• Supervising the data acquisition process if more data is needed

• Preparing dataset that could be used for training

• Defining validation strategies

• Defining the preprocessing or feature engineering to be done on a given dataset

• Defining data augmentation pipelines

• Analyzing the errors of the model and designing strategies to overcome them

• Deploying models to production
Show more Show less"
2807215607,Entry Level - Associate Data Scientist (Commercial),IBM,2021-11-19,United States,"New York, NY",Information Technology,Full-time,Computer Hardware Manufacturing,"Introduction

As an Associate Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

Work You Could Do As An Associate Data Scientist


Implement and validate predictive and prescriptive models, create and maintain statistical models with a focus on big data.
Incorporate a variety of statistical and machine learning techniques in your projects.
Write programs to cleanse and integrate data in an efficient and reusable manner.
Use leading edge and open-source tools such as Python, R, and TensorFlow, combined with IBM tools and our AI application suites.
Work in an Agile, collaborative environment, partnering with other scientists, engineers, consultants and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.
Communicate with internal and external clients to understand and define business needs and appropriate modelling techniques to provide analytical solutions.
Evaluate modelling results and communicate the results to technical and non-technical audiences.


Locations:

Atlanta, GA

Cambridge, MA

Chicago, IL

Dallas, TX

Houston, TX

New York, NY

San Francisco, CA

Washington DC

Required Technical and Professional Expertise


Ability to look at things differently, debug, troubleshoot, design and implement solutions to complex technical issues.
Strong technical and analytical abilities, a knack for driving impact and growth, and experience with a programming/scripting in a language such as Java or Python.
Basic understanding of statistical programming in a language such as R, Python, or SAS, SPSS, MATLAB.
Basic understanding of Cloud (AWS, Azure, etc.).
Excellent verbal and written communication skills.
Work or internship experience using data science tools in a corporate environment.
Interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies.
Willingness to travel up to 100% of the time.


Preferred Majors

Computer Science, Data Science, Applied Mathematics, Statistics, Cognitive Science, Artificial Intelligence, Business Intelligence, Operations Research, Engineering

Preferred Technical And Professional Expertise

N/A

About Business Unit

IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

This job requires you to be fully COVID-19 vaccinated prior to your start date, where legally permissible. Proof of vaccination status will be required. If you are unable to be vaccinated due to medical, pregnancy or religious reasons, we offer accommodations in accordance with applicable law.

Your Life @ IBM

What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

Benefits

In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to

IBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work.


12 weeks of paid parental bonding leave. Family care options are also available to support eligible employees during COVID-19.
World-class training and educational resources on our personalized, AI-driven learning platform. IBM's learning culture supports your restless attitude to grow your skills and build the depth and scale of knowledge needed to achieve your career goals.
Well-being programs to support mental and physical health.
Financial programs that empower you to plan, save, and manage your money (including expert financial counseling, 401(k), IBM stock discount, etc.).
Select educational reimbursement opportunities.
Diverse and inclusive employee resource groups where you can network and connect with IBMers across the globe.
Giving and volunteer programs to benefit charitable organizations and local communities.
Discounts on retail products, services, and experiences.


We consider qualified applicants with criminal histories, consistent with applicable law.

IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.


Show more Show less"
2807214823,Entry Level - Associate Data Scientist (Commercial),IBM,2021-11-19,United States,"Houston, TX",Information Technology,Full-time,Computer Hardware Manufacturing,"Introduction

As an Associate Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

Work You Could Do As An Associate Data Scientist


Implement and validate predictive and prescriptive models, create and maintain statistical models with a focus on big data.
Incorporate a variety of statistical and machine learning techniques in your projects.
Write programs to cleanse and integrate data in an efficient and reusable manner.
Use leading edge and open-source tools such as Python, R, and TensorFlow, combined with IBM tools and our AI application suites.
Work in an Agile, collaborative environment, partnering with other scientists, engineers, consultants and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.
Communicate with internal and external clients to understand and define business needs and appropriate modelling techniques to provide analytical solutions.
Evaluate modelling results and communicate the results to technical and non-technical audiences.


Locations:

Atlanta, GA

Cambridge, MA

Chicago, IL

Dallas, TX

Houston, TX

New York, NY

San Francisco, CA

Washington DC

Required Technical and Professional Expertise


Ability to look at things differently, debug, troubleshoot, design and implement solutions to complex technical issues.
Strong technical and analytical abilities, a knack for driving impact and growth, and experience with a programming/scripting in a language such as Java or Python.
Basic understanding of statistical programming in a language such as R, Python, or SAS, SPSS, MATLAB.
Basic understanding of Cloud (AWS, Azure, etc.).
Excellent verbal and written communication skills.
Work or internship experience using data science tools in a corporate environment.
Interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies.
Willingness to travel up to 100% of the time.


Preferred Majors

Computer Science, Data Science, Applied Mathematics, Statistics, Cognitive Science, Artificial Intelligence, Business Intelligence, Operations Research, Engineering

Preferred Technical And Professional Expertise

N/A

About Business Unit

IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

This job requires you to be fully COVID-19 vaccinated prior to your start date, where legally permissible. Proof of vaccination status will be required. If you are unable to be vaccinated due to medical, pregnancy or religious reasons, we offer accommodations in accordance with applicable law.

Your Life @ IBM

What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

Benefits

In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to

IBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work.


12 weeks of paid parental bonding leave. Family care options are also available to support eligible employees during COVID-19.
World-class training and educational resources on our personalized, AI-driven learning platform. IBM's learning culture supports your restless attitude to grow your skills and build the depth and scale of knowledge needed to achieve your career goals.
Well-being programs to support mental and physical health.
Financial programs that empower you to plan, save, and manage your money (including expert financial counseling, 401(k), IBM stock discount, etc.).
Select educational reimbursement opportunities.
Diverse and inclusive employee resource groups where you can network and connect with IBMers across the globe.
Giving and volunteer programs to benefit charitable organizations and local communities.
Discounts on retail products, services, and experiences.


We consider qualified applicants with criminal histories, consistent with applicable law.

IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.


Show more Show less"
2804246340,Jr. Data Scientist,Deloitte,2021-11-18,United States,"Falls Church, VA","Management, Strategy/Planning, and Consulting",Full-time,"IT Services and IT Consulting, Management Consulting, and Accounting","In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.

Work you'll do

The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to enterprise data to advance and enable key mission outcomes. In this role, they will support all phases of analytic work product development, from the identification of key business questions to ETL, from performing analyses to delivery of insights to decision-makers, with particular attention to the interplay between data and the business processes that produce and consume it.

The team

Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.

The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients. Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.

Qualifications

Required:

Bachelor's degree in Computer Science, Engineering, Mathematics or other business-related field
Ability to obtain & maintain a US Government Security Clearance
2+ years of experience with programming languages such as SQL, R, Python
1+ years of experience with data visualization tools, such as Tableau, Qlik, PowerBI, d3.js, or equivalent
2+ years of experience with data extraction, transformation, and loading to support advanced analytics
Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future

Preferred:

2+ years of relevant consulting or industry experience
Prior professional services or GPS consulting experience
Knowledge of data mining, machine learning, data visualization and statistical modeling

How you'll grow

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.
Show more Show less"
2796263843,Entry Level Data Scientist: 2022,IBM,2021-11-15,United States,"San Francisco, CA",Information Technology,Full-time,Computer Hardware Manufacturing,"Introduction

As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities

Start dates for this role are January 2022 and later

Data scientists are in demand across IBM’s growth areas. If hired, you will be matched to a team based on business demand, location and fit. Join the forward-thinking teams at IBM solving some of the world’s most complex problems – there is no better place to start your career!

What you’ll do as an Entry Level Data Scientist:


You will implement and validate predictive models as well as create and maintain statistical models with a focus on big data.
You will be exposed to and incorporate a variety of statistical and machine learning techniques such as logistic regression, experimental design, generalized linear models, mixed modeling, CHAID/decision trees, neural networks and ensemble models.
You will communicate with internal and external clients to understand business needs and provide analytical solutions.
You will use leading edge tools such as COGNOS, Watson Studio and Watson Machine Learning.
You’ll work in an agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.


Who You Are


You are great at solving problems, debugging, troubleshooting, and designing & implementing solutions to complex technical issues.
You thrive on teamwork and have excellent verbal and written communication skills.
You have strong technical and analytical abilities, a knack for driving impact and growth, and some experience with programming/scripting in a language such as Java or Python.
You have an interest in, understanding of, or experience with Design Thinking and Agile Development methodologies.


For more information on our other Entry Level opportunities, please visit here.

These are office based positions in IBM locations including the following. Opportunities in these locations will vary based on demand & will be deleted as filled:

CA - San Francisco, San Jose

CT - Southbury

GA - Brookhaven, Sandy Springs

MA – Andover, Cambridge, Lowell

NY - Armonk, NYC

NC - Research Triangle Park

TX - Austin, Dallas

Required Technical and Professional Expertise


Understanding of statistical programming in a language such as Python, R or SAS
Experience with programming/scripting in Java, Python, etc.


Preferred Technical And Professional Expertise


Knowledge of statistical concepts such as regressions, time series, mixed model, Bayesian methods, clustering, etc., to analyze data and provide insights
One or more internship or co-op experiences


About Business Unit

No matter where you work in IBM, you are making an impact. As an Early Professional with IBM, you will be taking on a key role with one of our industry-leading business units to work on the technology that is solving our most challenging problems and changing the way the world thinks.

This job requires you to be fully COVID-19 vaccinated prior to your start date, where legally permissible. Proof of vaccination status will be required. If you are unable to be vaccinated due to medical, pregnancy or religious reasons, we offer accommodations in accordance with applicable law.

Your Life @ IBM

What matters to you when you’re looking for your next career challenge?

Maybe you want to get involved in work that really changes the world? What about somewhere with incredible and diverse career and development opportunities – where you can truly discover your passion? Are you looking for a culture of openness, collaboration and trust – where everyone has a voice? What about all of these? If so, then IBM could be your next career challenge. Join us, not to do something better, but to attempt things you never thought possible.

Impact. Inclusion. Infinite Experiences. Do your best work ever.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

Benefits

In addition to a competitive benefits program consisting of medical and life insurance, retirement plans, and time off, eligible employees may also have access to

IBM offers a wide range of resources for eligible IBMers to thrive both inside and outside of work.


12 weeks of paid parental bonding leave. Family care options are also available to support eligible employees during COVID-19.
World-class training and educational resources on our personalized, AI-driven learning platform. IBM's learning culture supports your restless attitude to grow your skills and build the depth and scale of knowledge needed to achieve your career goals.
Well-being programs to support mental and physical health.
Financial programs that empower you to plan, save, and manage your money (including expert financial counseling, 401(k), IBM stock discount, etc.).
Select educational reimbursement opportunities.
Diverse and inclusive employee resource groups where you can network and connect with IBMers across the globe.
Giving and volunteer programs to benefit charitable organizations and local communities.
Discounts on retail products, services, and experiences.


We consider qualified applicants with criminal histories, consistent with applicable law.

IBM will not be providing visa sponsorship for this position now or in the future. Therefore, in order to be considered for this position, you must have the ability to work without a need for current or future visa sponsorship.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.


Show more Show less"
2804736575,Data Scientist,Self-Employed,2021-11-19,United States,United States,,Contract,,"The ideal candidate's favorite words are learning, data, scale, and agility. You will leverage your strong collaboration skills and ability to extract valuable insights from highly complex data sets to ask the right questions and find the right answers. 

 

Responsibilities
Analyze raw data: assessing quality, cleansing, structuring for downstream processing
Design accurate and scalable prediction algorithms
Collaborate with engineering team to bring analytical prototypes to production
Generate actionable insights for business improvements




Qualifications

Bachelor's degree or equivalent experience in quantative field (Statistics, Mathematics, Computer Science, Engineering, etc.)
At least 1 - 2 years' of experience in quantitative analytics or data modeling
Deep understanding of predictive modeling, machine-learning, clustering and classification techniques, and algorithms
Fluency in a programming language (Python, C,C++, Java, SQL)
Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)

Show more Show less"
2802329406,Data Scientist,Dropnir IO,2021-11-20,United States,United States,,Full-time,,"I am looking for a Haskell data scientist to help with security and production testing for project Dropnir. See this proposal: https://cardano.ideascale.com/a/dtd/Dropnir-Pool-Powered-CNFT-Markets/381582-48088
Show more Show less"
2802329555,Data Scientist,Virtual Minds,2021-11-20,United States,"Atlanta, GA",,Full-time,,"

Job Description: Data Scientist

About Virtual Mind:

Virtual Mind is a recruitment consultancy firm that helps companies such as Dell, Citadel, Qualtrics, PNC, Venture for America, RippleMatch, SAP, etc recruit faster and with more convenience.

We are  transforming the way recruiting is done in the digital age. We work with a number of top tier companies, tech startups, freelance companies, industry professionals and subject matter experts for projects, internships, jobs and freelance work.

If you meet the below eligibility criteria, please apply and our recruitment team will

connect with you to understand your strengths and strategize your career ahead.

We plan to build a strong connection with all of our applicants so that we can facilitate both our employment partners and potential employees now as well as in the future.

Eligibility Criteria:

Your year of graduation is 2021 or later.

You have a bachelor's degree from a USA university.

Responsibilities:

Selecting features, building and optimizing classifiers using machine learning techniques

Data mining using state-of-the-art methods

Extending company’s data with third party sources of information when needed

Enhancing data collection procedures to include information that is relevant for building analytic systems

Processing, cleansing, and verifying the integrity of data used for analysis

Doing ad-hoc analysis and presenting results in a clear manner

Skills:

Great communication skills

Good applied statistics skills, such as distributions, statistical testing, regression, etc.

Good scripting and programming skills

Data Savvy personality

Important: This is not a job post for an opportunity to work at Mobinity Global The successful application submission for the above role(s) will be conditional to your profile evaluation by our AI system. We can let you know better once you submit your resume.



Show more Show less"
2804242839,Jr. Data Scientist,Deloitte,2021-11-18,United States,"Arlington, VA","Management, Strategy/Planning, and Consulting",Full-time,"IT Services and IT Consulting, Management Consulting, and Accounting","In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.

Work you'll do

The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to enterprise data to advance and enable key mission outcomes. In this role, they will support all phases of analytic work product development, from the identification of key business questions to ETL, from performing analyses to delivery of insights to decision-makers, with particular attention to the interplay between data and the business processes that produce and consume it.

The team

Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.

The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients. Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.

Qualifications

Required:

Bachelor's degree in Computer Science, Engineering, Mathematics or other business-related field
Ability to obtain & maintain a US Government Security Clearance
2+ years of experience with programming languages such as SQL, R, Python
1+ years of experience with data visualization tools, such as Tableau, Qlik, PowerBI, d3.js, or equivalent
2+ years of experience with data extraction, transformation, and loading to support advanced analytics
Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future

Preferred:

2+ years of relevant consulting or industry experience
Prior professional services or GPS consulting experience
Knowledge of data mining, machine learning, data visualization and statistical modeling

How you'll grow

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.
Show more Show less"
