job_id,title,comapany,date,location,place,job_function,employment_type,industries,description
2807317112,Machine Learning Engineer,Domino's,2021-11-21,United States,"Ann Arbor, MI",,Full-time,,"Help Domino's Data Science Center of Excellence build and deploy machine learning modules that improve the customer experience and promote operational efficiency.
Show more Show less"
2798036320,"Computational Scientist, Machine Learning",Pfizer,2021-10-24,United States,"Cambridge, MA",General Business and Information Technology,Full-time,Pharmaceutical Manufacturing,"Role Summary

Pfizer Simulation and Modeling Sciences (SMS) group has an opening for a computational methods developer with expertise in molecular modeling, machine learning (ML), and scientific programming. The successful candidate will develop and deploy molecular modeling techniques, ML models, and computational tools to support mRNA based therapeutic efforts across Pfizer.

Role Responsibilities

In collaboration with key stakeholders across Pfizer R&D, develop state-of-the-art molecular modeling techniques, ML models, and computational tools to support mRNA therapeutics efforts. Specific tasks include, but not limited to, development of computational approaches to predict mRNA degradation and methods to improve their stability through efficient sequence optimization.
Leverage proprietary computational framework and applications to deploy computational methods and ML models for wide usage by Pfizer scientists.
Occasionally contribute to the ongoing and new method development efforts within SMS focusing on small molecule and biotherapeutics lines.
Proactively identify, assess, and internalize promising methods and tools from external publications.
Communicate and explain computational models and ML algorithms to broad scientific audience from diverse discipline.

Basic Qualifications

Ph.D. in computational chemistry, physical or biological sciences, chemical engineering, computer science, or related discipline.
Proficiency in general molecular modeling techniques.
Proficiency in high-level programming language (e.g. Python); experience with Unix/Linux, HPC environments.
Experience with machine learning.
Strong track record of publications demonstrating applications of molecular modeling and/or ML to problems of pharmaceutical interest.
Excellent communication and interpersonal skills.

Preferred Qualifications

Experience in applying molecular modeling and/or ML to mRNA design and optimization.

Additional Job Information:

Eligible for employee referral bonus
Eligible for relocation support

Pfizer requires all U.S. new hires to be fully vaccinated for COVID-19 prior to the first date of employment. As required by applicable law, Pfizer will consider requests for Reasonable Accommodations.

Sunshine Act

Pfizer reports payments and other transfers of value to health care providers as required by federal and state transparency laws and implementing regulations. These laws and regulations require Pfizer to provide government agencies with information such as a health care provider’s name, address and the type of payments or other value received, generally for public disclosure. Subject to further legal review and statutory or regulatory clarification, which Pfizer intends to pursue, reimbursement of recruiting expenses for licensed physicians may constitute a reportable transfer of value under the federal transparency law commonly known as the Sunshine Act. Therefore, if you are a licensed physician who incurs recruiting expenses as a result of interviewing with Pfizer that we pay or reimburse, your name, address and the amount of payments made currently will be reported to the government. If you have questions regarding this matter, please do not hesitate to contact your Talent Acquisition representative.

EEO & Employment Eligibility

Pfizer is committed to equal opportunity in the terms and conditions of employment for all employees and job applicants without regard to race, color, religion, sex, sexual orientation, age, gender identity or gender expression, national origin, disability or veteran status. Pfizer also complies with all applicable national, state and local laws governing nondiscrimination in employment as well as work authorization and employment eligibility verification requirements of the Immigration and Nationality Act and IRCA. Pfizer is an E-Verify employer.

Information & Business Tech


Show more Show less"
2800189532,Machine Learning Scientist,Apple,2021-11-19,United States,"Austin, TX",Other,Full-time,Computers and Electronics,"
Summary

At Apple, we work every day to create products that enrich people’s lives. Our Advertising Platforms group makes it possible for people around the world to easily access informative and imaginative content on their devices while helping publishers and developers promote and monetize their work. Today, our technology and services power advertising in Search and Discovery Ads in the App Store and Apple News. Our platforms are highly-performant, deployed at scale, and setting new standards for enabling effective advertising while protecting user privacy.


We are looking for accomplished and ambitious individual who can thrive in a fast paced agile environment and work at the bleeding edge of ML and privacy frameworks. Our group is developing next generation of Ad Tech technology with a strong focus on user privacy and in the process it is redefining the industry. For end-users, we aim to provide high privacy guarantees and for advertisers we want to enable new mechanisms to build effective campaigns. This position involves working on large volumes of data, identifying meaningful data patterns, assuring the integrity and breadth of the data, measuring user, campaign and app performance, and finally analyzing the results of extremely large-scale experiments. The role involves using state of the art language models, collaborative filters and dense representations. In addition, the successful candidate will also apply advanced ML techniques for federated learning where privacy mechanisms are safeguarded at the very onset and delightful relevance experiences are built by applying encryption techniques, on-device segmentation, advanced language models, ranking algorithms by utilizing the best of aggregated server and on-device data.


Key Qualifications

5+ years relevant experience in Algorithms, Artificial Intelligence, Distributed Systems, Machine Learning, Data Science or Statistics.

You should have experience in software development using a general purpose programming language (e.g., Python, Java, C/C++, C#, Objective-C, and/or Swift).

Previous experience working in any of the following: Privacy preserving machine learning algorithms such as Differential Privacy, Developing Risk models for Ad Fraud and Spam Detection, Developing Anomaly Detection models, Building deep representations based on language modeling & collaborative filtering, Developing audience segmentation models, attribution or lift models, Developing ML approaches, features for supporting search relevance & advertising performance


Ability to take requirements from design through to implementation both independently and with larger teams

Closely working with operational teams on deployment, monitoring, model retrain and other aspects of MLOps

Experience in distributed machine learning architectures and/or federated learning

Any previous experience working with a public cloud infrastructure such as GCP, Azure or AWS is an added advantage


Description

You will have the opportunity to work on a platform with extreme scale and performance requirements. You would be applying your skills to work across the stack to develop, test, deploy and maintain ML based software solutions. Develop machine learning models using frameworks such as TensorFlow and PyTorch. Implement and adapt deep learning network architectures, such as CNN and RNN. You would participate in cutting edge research and development in artificial intelligence and machine learning applications.


Education & Experience

- MS or PhD in Computer Science, Electrical Engineering or other STEM fields

- Hands on experience working in a matrix organization and providing technical leadership to a team of 3-5 junior engineers.

- Demonstrated experience in architecting and developing solutions to ambiguous problems with significant technical impact.

- Interest and ability to invest in continual learning of new technical and soft skills


Role Number: 200259232


Show more Show less"
2796300694,Machine Learning Intern,HP,2021-11-12,United States,"Fort Collins, CO",Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Computer Software","HP has an opening for a Research intern in the area of computer vision and deep learning. We are looking for PhD candidates who are passionate about applying your knowledge of deep learning in industrial applications, enjoying solving challenging deep learning problems, and contributing to successful products used by millions of people.

Responsibilities

Participate in cutting-edge research in deep learning for computer vision applications.
Design and implement computer vision and deep learning algorithms for analyzing images and videos in real time
Prepare training, validation, and testing dataset, label ground truth, and analyzing result
Document experimental results, and file patent disclosures
Collaborate with project team members, as well as engineers across company to meet research goals

Knowledge & Skills

Experience in C++ programming and Python
Experience with one or more deep learning frameworks (Caffe, Caffe2, PyTorch, Tensorflow)
Experience with OpenCV
Good technical judgment and initiative
Demonstrated ability to work effectively as a member of a team
Strong oral and written communications skills

Education & Experience

PhD Candidate in Computer Science or related areas

About HP

You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.

So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.

HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.

Our history: HP’s commitment to diversity, equity and inclusion - it's just who we are.

From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!


Show more Show less"
2796302217,Machine Learning Intern,HP,2021-11-12,United States,"Palo Alto, CA",Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Computer Software","HP has an opening for a Research intern in the area of computer vision and deep learning. We are looking for PhD candidates who are passionate about applying your knowledge of deep learning in industrial applications, enjoying solving challenging deep learning problems, and contributing to successful products used by millions of people.

Responsibilities

Participate in cutting-edge research in deep learning for computer vision applications.
Design and implement computer vision and deep learning algorithms for analyzing images and videos in real time
Prepare training, validation, and testing dataset, label ground truth, and analyzing result
Document experimental results, and file patent disclosures
Collaborate with project team members, as well as engineers across company to meet research goals

Knowledge & Skills

Experience in C++ programming and Python
Experience with one or more deep learning frameworks (Caffe, Caffe2, PyTorch, Tensorflow)
Experience with OpenCV
Good technical judgment and initiative
Demonstrated ability to work effectively as a member of a team
Strong oral and written communications skills

Education & Experience

PhD Candidate in Computer Science or related areas

About HP

You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.

So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.

HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.

Our history: HP’s commitment to diversity, equity and inclusion - it's just who we are.

From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!


Show more Show less"
2796197991,Machine Learning Intern,HP,2021-11-12,United States,"Fort Collins, CO",Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Computer Software","HP has an opening for a Research intern in the area of computer vision and deep learning. We are looking for PhD candidates who are passionate about applying your knowledge of deep learning in industrial applications, enjoying solving challenging deep learning problems, and contributing to successful products used by millions of people.

Join us for a 12-week paid Summer 2022 Internship designed to let you apply your classroom learnings to real world challenges. Our internships have a thoughtful balance of networking, executive speakers, community involvement, big meaty projects, and fun!

Responsibilities

Participate in cutting-edge research in deep learning for computer vision applications.
Design and implement computer vision and deep learning algorithms for analyzing images and videos in real time
Prepare training, validation, and testing dataset, label ground truth, and analyzing result
Document experimental results, and file patent disclosures
Collaborate with project team members, as well as engineers across company to meet research goals

Knowledge & Skills

Experience in C++ programming and Python
Experience with one or more deep learning frameworks (Caffe, Caffe2, PyTorch, Tensorflow)
Experience with OpenCV
Good technical judgment and initiative
Demonstrated ability to work effectively as a member of a team
Strong oral and written communications skills

Education & Experience

PhD Candidate in Computer Science or related areas

About HP

You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.

So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.

HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.

Our history: HP’s commitment to diversity, equity and inclusion - it's just who we are.

From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!


Show more Show less"
2802371906,Machine Learning Engineer - Applied ML,Apple,2021-10-27,United States,"Cupertino, CA",Engineering and Information Technology,Full-time,Computers and Electronics,"
Summary

Apple Special Projects Group is seeking software engineers to develop scalable machine learning approaches for autonomous systems. You will directly contribute to ML approaches using rich data. You will work closely with specialists across high-performance computing, machine learning, and autonomous system development to identify needs and deliver new capabilities. You will share every stage of development from concept to deployment.


JOB SUMMARY

- Build and integrate end to end lifecycles of large-scale, distributed machine learning systems using the latest open source technologies

- Build software that improves your rate of experimentation and helps you make better decisions about what to try next

- Train, evaluate, and debug deep learning models for complex tasks

- Develop tools and services for improving ML systems beyond modeling choices — data distribution editing, data quality improvements, and representation learning with self-supervision

- Improve distributed cloud GPU training approaches for deep learning models

- Collaborate with engineers across functions to solve complex data problems at scale

- Identify and evaluate new patterns and technologies to improve performance, maintainability and elegance of our machine learning systems

- Lead technical projects to completion. Communicate with peers to build requirements and track progress

- Mentor fellow engineers in your areas of expertise

- Contribute to a team culture that values effective collaboration, technical perfection, and innovation


Key Qualifications

Significant full-time experience building end to end data systems as an ML Engineer, Platform Engineer, or equivalent

Solid software engineering skills in complex, multi-language systems. Fluency in Python.

Experience working with cloud data processing technologies (Spark, Dask, ElasticSearch, Presto, SQL, etc.)

Expertise in ML algorithms and top practices for working with deep learning systems

Proficiency with ML modeling frameworks (PyTorch, Tensorflow, etc.)

Ability to serve as a technical lead — building technical requirements, software design, implementation, and clear communication

Strong overall software development approach. You deliver clean, well-tested code.


Description

We are a team of hardworking engineers and researchers with deep experience in robotics, machine learning, and software engineering. We work on exciting new technologies and balance exploration of new problems with result-driven project planning and execution. In our daily work, the team stays effective, productive, and fun by sharing some key values:


Passion for the mission: We’re here to make something extraordinary. We seek whatever work is right and strive for the best possible results.


Modesty: The right answer is more significant than being right. We search for solutions as a team and value clear-eyed feedback.


Lean habits: You can’t grow without limits. Time constraints and big goals encourage us to sharpen our focus and learn to make phenomenal decisions.


Education & Experience

Bachelors, Masters, or PhD Degree in Computer Science/Machine Learning or equivalent professional experience.


Role Number: 200166605


Show more Show less"
2798507116,Data Scientist - Machine Learning,Amazon,2021-11-18,United States,"Seattle, WA",Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Computer Software, and Internet Publishing","Description

Amazon’s mission is to be the most customer centric company in the world. The Workforce Staffing (WFS) organization is on the front line of that mission by hiring the hourly fulfillment associates who make that mission a reality. To drive the necessary growth and continued scale of Amazon’s associate needs within a constrained employment environment, Amazon has created the Workforce Intelligence (WFI) team. This team will (re)invent how Amazon attracts, communicates with, and ultimately hires its hourly associates. This team owns multi-layered research and program implementation to drive deep learning, process improvements, and strategic recommendations to global leadership.

Are you passionate about data? Do you enjoy questioning the status quo? Do complex and difficult challenges excite you? If yes, this may be the team for you.

The Data Scientist will be responsible for creating cutting edge algorithms, predictive and prescriptive models as well as required data models to facilitate WFS at-scale warehouse associate hiring. This role acts as an internal consultant to the Planing and Forecasting (PAF) team covering responsibilities such as at-scale hiring process improvement, analyzing large scale candidate/associate data and being strategic to providing best candidate hiring experience to WFS warehouse associate candidates.

Key Responsibilities

Build at-scale high performing predictive and prescriptive models and algorithms to personalize candidate hiring experience
Provide Next-Best-Actions (NBAs) and Next-Best-Offers to all WFS candidates using hiring funnel and application datasets
Define, create and invent metrics and Key Performance Identifiers (KPIs) to measure the impacts of WFS decisions on candidate hiring experiences including funnel fallout rate, attrition, attendance, overtime and etc
Build various simulation scenarios and guide WFS leadership by enabling candidate's Insights-to-Action and democratizing candidate insights across various candidate communication channel
Be a storyteller and communicate the needs of candidates, associates and staffing coordinators to WFS stakeholders using candidate insight
Act as a mentor to less tenured engineers within the team, be a subject matter for design and implementation of high performing algorithms, provide guidance on programmatic integration of candidate insights into labor planning systems

Inclusive Team Culture

Here at Amazon, we embrace our differences. We are committed to furthering our culture of inclusion. We have 12 affinity groups (employee resource groups) with more than 87,000 employees across hundreds of chapters around the world. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which reminds team members to seek diverse perspectives, learn and be curious, and earn trust.

Flexibility

It isn’t about which hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We offer flexibility and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth

We care about your career growth too. Whether your goals are to explore new technologies, take on bigger opportunities, or get to the next level, we'll help you get there. Our business is growing fast and our people will grow with it.


Basic Qualifications

Masters degree in Computer Science, Artificial Intelligence, Industrial and Systems Engineering or Operations Research
Minimum 3+ years of relevant work experience in a Data Science and/or Machine Learning role
Demonstrated leadership in designing and building at-scale high performing predictive/prescriptive models and algorithms
Strong knowledge of scripting languages such as Python and R
Strong knowledge of SQL, NoSQL, Spark and/or Scala
Ability to turn complex problems into simple solutions
Track record of managing multiple projects simultaneously in a fast-paced environment
Proven ability to develop engaging customer-facing products
Ability to self-direct, multitask, and prioritize a constantly evolving workload

Preferred Qualifications

Extensive experience with Python Machine Learning libraries such as Numpy, SciPy, Scikit-learn, CUDA and PyTorch
Extensive experience with GPU model training, Unsupervised/Supervised, multivariate at-scale testing and feature engineering algorithms
Familiarity with Service Oriented Architecture (SoA) and designing MicroServices/MicroDBs
Familiarity with Amazon's cloud infrastructure including EC2, S3 and Redshift
Ability to work cross functionally
Strong negotiation/relationship building skills
Business consulting experience
Ability to work on a diverse team or with a diverse range of coworkers

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us

We believe passionately that employing a diverse workforce is central to our success and we make recruiting decisions based on your experience and skills. We welcome applications from all members of society irrespective of age, gender, disability, sexual orientation, race, religion or belief.


Company - Amazon.com Services LLC

Job ID: A1561133
Show more Show less"
2802376350,"AI/ML - Machine Learning Engineer (Knowledge Platform), Information Intelligence",Apple,2021-11-02,United States,"Seattle, WA",Engineering and Information Technology,Full-time,Computers and Electronics,"
Summary

The Apple Knowledge Platform team is building groundbreaking technology for algorithmic search, machine learning, natural language processing, and artificial intelligence. The features we build are redefining how hundreds of millions of people use their computers and mobile devices to search and find what they are looking for. As part of this group, you will work with one of the most exciting high performance computing environments, with petabytes of data, millions of queries per second, and have an opportunity to imagine and build products that delight our customers every single day.


Key Qualifications

Excellent programming skills in Python and Java

Experience working with large data sets and pipelines, ideally using the Apache software stack (e.g. Spark, HBase)

Broad knowledge of computer science and systems; ability to quickly learn new skills

Experience of developing, evaluating ML models and deploying models into production

Proven system development skills in UNIX-type OS (e.g. Linux, Mac OS)

Excellent problem-solving and analytic skills

Good interpersonal skills and teamwork

Real passion for building phenomenal products

Curiosity to learn


Description

Apple is hiring a ML engineer for Knowledge team . You'll be working at the frontier of AI, crunching massive amounts of data for Apple's knowledge base. In a dynamic, continuously-integrated environment, you'll design and implement robust, scalable data/ML pipelines capable of processing an ever-growing data set while keeping latency low and quality high. You'll work closely with diverse data sources to integrate new knowledge, and with engineers from across Apple to deliver knowledge for customer-facing services. Your responsibilities will also include developing tools and tests to ensure quality and help diagnose issues.


Education & Experience

BS, MS or PhD in Computer Science, Data Science or related field


Role Number: 200307869


Show more Show less"
2804241785,Jr. Data Scientist,Deloitte,2021-11-18,United States,"Bethesda, MD","Management, Strategy/Planning, and Consulting",Full-time,"IT Services and IT Consulting, Management Consulting, and Accounting","In this age of disruption, organizations need to navigate the future with confidence by tapping into the power of data analytics, robotics, and cognitive technologies such as Artificial Intelligence (AI). Our Strategy & Analytics portfolio helps clients leverage rigorous analytical capabilities and a pragmatic mindset to solve the most complex of problems. By joining our team, you will play a key role in helping to our clients uncover hidden relationships from vast troves of data and transforming the Government and Public Services marketplace.

Work you'll do

The Data Scientist will join a team responsible for developing advanced analytics products; applying data visualization and statistical programming tools to enterprise data to advance and enable key mission outcomes. In this role, they will support all phases of analytic work product development, from the identification of key business questions to ETL, from performing analyses to delivery of insights to decision-makers, with particular attention to the interplay between data and the business processes that produce and consume it.

The team

Deloitte's Government and Public Services (GPS) practice - our people, ideas, technology and outcomes-is designed for impact. Serving federal, state, & local government clients as well as public higher education institutions, our team of over 15,000+ professionals brings fresh perspective to help clients anticipate disruption, reimagine the possible, and fulfill their mission promise.

The GPS Analytics and Cognitive (A&C) offering is responsible for developing advanced analytics products and applying data visualization and statistical programming tools to enterprise data in order to advance and enable the key mission outcomes for our clients. Our team supports all phases of analytic work product development, from the identification of key business questions through data collection and ETL, and from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers. Our practitioners give special attention to the interplay between data and the business processes that produce it and the decision-makers that consume insights.

Qualifications

Required:

Bachelor's degree in Computer Science, Engineering, Mathematics or other business-related field
Ability to obtain & maintain a US Government Security Clearance
2+ years of experience with programming languages such as SQL, R, Python
1+ years of experience with data visualization tools, such as Tableau, Qlik, PowerBI, d3.js, or equivalent
2+ years of experience with data extraction, transformation, and loading to support advanced analytics
Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future

Preferred:

2+ years of relevant consulting or industry experience
Prior professional services or GPS consulting experience
Knowledge of data mining, machine learning, data visualization and statistical modeling

How you'll grow

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there's always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs, our professionals have a variety of opportunities to continue to grow throughout their career.
Show more Show less"
