job_id,title,comapany,date,location,place,job_function,employment_type,industries,description
2801690476,Data Analyst,Webmasters4SEO,2021-11-20,United States,United States,,Full-time,,"What you’ll do
The business analyst would work closely with our customers to understand their business model, requirements and translate them into software requirements documents. Specifically, the responsibilities would include:

Understanding business process management and business requirements of the customers and translating them to specific software requirements.
Ensuring that the solution suggested is commercially viable and competitive.
Documenting and analyzing the required information and data.
Understanding the technical designs as well as the specifications.
Evaluating the information gathered through workshops and surveys, business process description and task analysis.
Effectively communicating with internal teams and external clients to deliver functional requirements like GUI, screen and interface designs.
Business intelligence and a deep understanding of customer's needs so that they can be transformed into application and operational requirements.
Acting as an interface between business units, technology teams and support teams

Desired Candidate Profile


Excellent oral and written communication
Analytical Skills
Presentation Skills
Being a leader who can create leaders
Client Management
Excellent Team worker
Need to have synergy with people and conforming to the needs of the project
Being proactive
Having passion for the job
High on commitment & cooperation
The 'get it done' approach
Good communication
Flair for learning
Innovative approach
Show more Show less"
2801102127,Data Analyst - 75% REMOTE $60k,OrbitJobs.Org,2021-11-19,United States,"Dallas, TX",,Full-time,,"In this role, you'll be working with large, disparate data sets, developing complex reporting solutions, and streamlining processes through automation. You'll gain fluency in capital market concepts and become familiar with financial services operations.




Why join us?




We offer a comprehensive compensation package including but not limited to:




A highly competitive salary ranging from $55K-$60K
100% employer covered benefits (Medical, Dental, Vision)
401K with generous company match
Collaborative and friendly team
Lunch provided every day!
Some travel to local client offices may be required







Job Details




RESPONSIBILITIES:




Researching data issues involving large volumes of data stored in various systems
Troubleshooting problems loading data from automated data feeds
Identifying repetitive problems and developing permanent solutions
Developing a working understanding of financial concepts related to client data and reporting
Collaborating with business stakeholders and 3rd parties to develop technical solutions
Developing client-facing reports based on client requests
Using SQL to make deeper dives into complex issues to trace problems back to root cause




MUST HAVE:

1+ yrs of professional experience working as an Analyst
Experience writing SQL query language in a Database,




OR, Expertise with MS Excel V-lookups and Pivot Tables




PREFERRED:

Basic programming experience
Finance/Capital Markets/Hedge Fund industry experience
B.S. in Management Information Services, Computer Science, or similar






Show more Show less"
2807214577,Data Analyst,Vanguard,2021-11-20,United States,"Charlotte, NC",Research and Analyst,Full-time,Financial Services,"Core Responsibilities

Engages with internal partners to understand business strategy, questions, and goals. Brings structure to business requests, translates requirements into an analytical project approach, and supports projects through completion.
Acquires and compiles structured and unstructured data and verifies its quality, accuracy and reasonableness.
Performs analyses of historical data to surface trends and insights using analytical methods.
Prepares and delivers visualizations and internal presentations that translate analytic insights into tangible, actionable solutions for business partners to implement.
May own and manage recurring analytic or reporting processes.
Participates in special projects and performs other duties as assigned.

Qualifications

Minimum of three years related work experience.
Undergraduate degree or equivalent combination of training and experience.

Special Factor

Vanguard is not offering visa sponsorship for this position.

About Vanguard

We are Vanguard. Together, we’re changing the way the world invests.

For us, investing doesn’t just end in value. It starts with values. Because when you invest with courage, when you invest with clarity, and when you invest with care, you can get so much more in return. We invest with purpose – and that’s how we’ve become a global market leader. Here, we grow by doing the right thing for the people we serve. And so can you.

We want to make success accessible to everyone. This is our opportunity. Let’s make it count.

Inclusion Statement

Vanguard’s continued commitment to diversity and inclusion is firmly rooted in our culture. Every decision we make to best serve our clients, crew (internally employees are referred to as crew), and communities is guided by one simple statement: “Do the right thing.”

We believe that a critical aspect of doing the right thing requires building diverse, inclusive, and highly effective teams of individuals who are as unique as the clients they serve. We empower our crew to contribute their distinct strengths to achieving Vanguard’s core purpose through our values.

When all crew members feel valued and included, our ability to collaborate and innovate is amplified, and we are united in delivering on Vanguard's core purpose.

Our core purpose: To take a stand for all investors, to treat them fairly, and to give them the best chance for investment success.
Show more Show less"
2796736074,Data Analyst,Mobinity Global,2021-11-17,United States,"Hawaii, United States",,Full-time,,"About Mobinity Global:




Mobinity Global is a recruitment consultancy firm that helps companies such as Dell, Citadel, Qualtrics, PNC, Venture for America, RippleMatch, SAP, BNY Mellon, etc recruit faster and with more convenience.




We are transforming the way recruiting is done in the digital age. We work with a number of top-tier companies, tech startups, freelance companies, Industry professionals, and subject matter experts for projects, internships, jobs, and freelance work. 




If you meet the below eligibility criteria, please apply and our recruitment team will

connect with you to understand your strengths and strategize your career ahead. 




 We plan to build a strong connection with all of our applicants so that we can facilitate both our employment partners and potential employers now as well as in the future.




Eligibility Criteria:

Your year of graduation is 2021 or later.
Working towards a bachelor’s degree or higher from a four-year accredited university in Economics, Statistics, Mathematics, Computer Science, Market Research, Business Analytics, Information Systems, Data Science, or another heavily quantitative program from a USA university.
Must be a current student.

 

Responsibilities:




Selecting features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extending company’s data with third party sources of information when needed
Enhancing data collection procedures to include information that is relevant for building analytic systems
Processing, cleansing, and verifying the integrity of data used for analysis
Doing ad-hoc analysis and presenting results in a clear manner

Skills:

Great communication skills
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Good scripting and programming skills
Data Savvy personality




Important: The successful application submission for the above role(s) will be conditional to your profile evaluation by our AI system. We can let you know better once you submit your resume.







Show more Show less"
2800197840,Data Analyst,Coates Group,2021-11-19,United States,Greater Chicago Area,Information Technology,Full-time,Computer Software,"Think big. Dare to innovate.







At Coates we pride ourselves on constantly challenging the industry norm to deliver unrivalled results. Switchboard™, our dynamic content management software platform, combined with our variety of digital kiosks and signage systems, offers a truly unique end to end merchandising solution. We partner with globally renowned brands and also dedicate our full attention to the needs of small to medium enterprises.







We have a passion for people and a daring willingness to do things differently. Our ambitious and collaborative team is continually focused on growing together, seizing opportunities and driving the business forward.







Supporting over 40 international markets, Coates Headquarters are based in Sydney, Australia with offices in the United States, Canada, France, China, UAE, India and Japan.







We value ideas, we deliver solutions.




PRIMARY ROLE







You will be working with Coates teams based in Australia as well as the U.S., which will require your workday to start at 1 pm CT.




As a Data Analyst, your primary responsibilities will be to conduct full lifecycle of data analysis which includes data gathering, clean-up, and analysis, in addition to report and dashboard creation. You will work with the Product, Engineering, and Delivery teams to maintain and improve their deployments at attain peak performance for our clients.







KEY DUTIES AND RESPONSIBILITIES




Aggregate and interrelate data from disparate sources for analysis, dashboards, reports, and insight
Perform data analysis and provide reporting and actionable insights for the key performance indicators to leadership team
Ensure quality and accuracy of data
Partner with internal teams to understand their prioritization efforts and get alignment on priorities
Partner with internal teams to understand their planned and actual capacity resource utilization, in order to represent them appropriately in the tool
Training end users on new reports and dashboards, along with tool enhancements
Identify opportunities for improvement and automation of processes, tools, and reporting







PREFERRED SKILLS AND QUALIFICATIONS




Minimum of 1 year of experience in a Data Analyst capacity
Bachelor’s degree in Information Systems, Computer Science, or related field
Experience using software tools to aggregate, analyze, and visualize data across disparate systems (e.g. Microsoft Power Query and Power BI, Tableau, etc.)
Expert with Microsoft Office (especially Excel and PowerPoint)
Excellent written and oral communication skills
Strong organizational, problem-solving, and analytical skills
Versatility, flexibility, and a willingness to work within constantly changing priorities with enthusiasm
Good judgment with the ability to make timely and sound recommendations
Ability to work independently and as a member of teams or committees
Effective interpersonal skills with the ability to work with all levels of management as well as the ability to deal effectively with a diversity of individuals at all levels of the organization
Creative, flexible, and innovative team player
Ability to present information effectively and respond to questions
Show more Show less"
2800003808,Data Analyst,Carpe,2021-11-15,United States,"Durham, NC ",,Full-time,,"Carpe is the next generation of sweat care. We're reimagining the antiperspirant industry by creating science-backed, effective products that make sweat irrelevant. Founded by two sweaty guys, we're looking for a Data Analyst to help us reach our ambitious growth goals and join our team based in Durham, North Carolina, or remote.




This entry-level position will require a logical thinker capable of identifying insights in data. The ideal candidate is highly analytical and driven with strong attention to detail. You will be delivering analysis that will help us scale our rapidly growing business, improve customer experience, and increase operational efficiency. You will have an immediate impact on key decisions and projects with high visibility to senior leadership. This role requires a high level of independence and an ability to learn quickly.




Responsibilities

Execute research and analytics, including data sources identification, processing, data modeling, and turning insights into actionable recommendations
Perform ad-hoc and flexible analysis, deliver the BI projects for business functions.
Design research and analytic frameworks in the context of overall project objectives such as (but not limited to) media effectiveness, consumer engagement, business model optimization, etc.
Collaborate actively and effectively with other functions, partners, and leaders to accomplish project objectives.
Create and maintain documentation and processes for data integration
Proactively plan and communicate effectively up to leadership.
Manage our analytics stack, Snowflake, Daasity, & Looker.




Basic Qualifications

Bachelor's degree or above, major in Computer Science, Engineering, Math, or similar fields focused on data analytics.
Good Knowledge of Excel and SQL or Lookml
Demonstrates strong learning capability on new business knowledge, business processes, analytics tools/techniques, and methods.
Legally authorization to work in the United States




Preferred Qualifications

Has an understanding of data analysis and data strategy
Understanding of basic eCommerce operations is preferred.
Able to stay organized and work in a fast-paced environment.
Resourceful, detail-oriented, and solution-based attitude.
Effective communication skills and excellent analytical skills.




Schedule and Benefits

Target Start Date is Jan 2022
Full Time - Salaried
Salary based on experience starts at $57,000.
The office is in Durham, NC.
In-person or Hybrid work is preferred.




About Carpe

Carpe was founded in 2014 by two sweaty guys with the vision to deliver full body science-backed sweat control to keep you dry.




LIFE CAN GET SWEATY. WE KEEP YOU DRY.




We are an Equal Employment Opportunity (“EEO”) Employer. It has been and will continue to be a fundamental policy of Carpe not to discriminate on the basis of race, color, creed, religion, gender, gender identity, pregnancy, marital status, partnership status, domestic violence victim status, sexual orientation, age, national origin, alienage or citizenship status, veteran or military status, disability, medical condition, genetic information, caregiver status, unemployment status or any other characteristic prohibited by federal, state and/or local laws. This policy applies to all aspects of employment, including hiring, promotion, demotion, compensation, training, working conditions, transfer, job assignment, benefits, layoff, and termination.

Show more Show less"
2805814906,Data Analyst,Dawn Foods Global,2021-11-19,United States,"Boston, MA",,Full-time,,"Dawn Foods is a leading global bakery manufacturing and distribution organization with 100 years of history. We built our Digital innovation Hub in Boston’s Back Bay and staffed the start-up with top talent from leading Boston eCommerce firms like BJs, Keurig, Sapient, Staples, and Wayfair. The Boston office has a broad mandate to drive the company’s digital capabilities and reports to our Boston-based Chief Digital Officer. This is a start-up opportunity to build digital capabilities from the ground up using a headless commerce architecture with the latest technologies across the digital ecosystem. 




This role reports to our Boston-based, Site Manager.

 

Requirements

2-4 years overall work experience, preferably in eCommerce or Digital marketing
Creative problem solving and troubleshooting skills; Excellent written and verbal communication skills
Ability to work independently in a fast-paced environment with frequent production releases
Degree in Computer Science, a related field, or industry experience, preferably with certification in Google Analytics, Tableau or similar BI tools

 

Job Responsibilities

Plan, develop, and execute data-collecting strategies
Organizing and transforming information into comprehensible structures
Using data mining to extract information from data sets and identify correlations and patterns
Identify, track and act on key KPIs relevant to the business
Performing statistical analysis of data
Create visualizations for data in easy-to-understand formats, such as diagrams and graphs
Create and deliver compelling presentations that provide actionable insights and recommendations
Interpret data, analyze results using statistical techniques, and provide ongoing reports
Work cross functionally to support product, marketing, and other internal teams with data requests
Monitoring data for quality and accuracy 
Communicating with stakeholders to understand data content and business requirements
Using data to predict trends in the customer base and the consumer population as a whole
Help coordinate projects across multiple stakeholders, appropriately prioritizing amongst competing initiatives
Skills
Productivity Tools: Microsoft Excel, Microsoft PowerPoint
Google Marketing Platform: Google Analytics, Google Tag Manger and Optimize
Web Development: HTML, JavaScript, CSS
Databases: SQL
Reporting/Visualization: Google Data Studio, Tableau, or SAP BI

 

Here at Dawn, our crisis management team is meeting regularly to assess our response to COVID-19. As part of this, we are looking at potential changes in our interview and onboarding process, as your health and safety is of the utmost importance to us. We encourage you to check back frequently and know that recruiters will be in touch with candidates as needed. We appreciate your interest in becoming part of the Dawn Family and will continue to make updates as new information becomes available. 

 

Thank you, 

Dawn Recruitment Team

 

 

Show more Show less"
2803152553,Data Analyst,Modelshop,2021-11-17,United States,"Jersey City, NJ ",,Full-time,,"Modelshop is looking for a data and modeling analyst to join our growing team. The chosen candidate will work closely with clients to design and build automated analytic applications using Modelshop's no-code automation platform. Examples of automated analytic applications include real-time credit decision models, fraud detection tools, medical treatment optimization and IT management models.

The right candidate will be technically oriented and able to rapidly learn new business domains and solve challenging analytic problems in multiple industries. Formal programming experience is not required, but the candidate must be familiar with data modeling concepts and comfortable creating logic syntax in tools such as business intelligence, reporting, advanced Excel or scripting languages. Some experience with Python, R or SAS is a plus.
Show more Show less"
2801612016,"Data Analyst, Entry-Level",DoorDash,2021-11-20,United States,"San Francisco, CA",Information Technology,Full-time,"Marketing and Advertising, Computer Software, and Internet Publishing","About The Team

At DoorDash, we’re building the future of on-demand delivery. Our world-class team of Data Scientists is passionate about creating opportunities for others to become the next generation of data-driven decision-makers at DoorDash. Many of our best Data Scientists had no experience prior to transferring into the role. This is an excellent opportunity to jumpstart your Analytics career.

About The Role

Our goal is to develop our entry-level Data Analysts into thoughtful and strategic leaders. This means designing and running experiments in your first quarter at DoorDash, quickly becoming a SQL expert, developing your data storytelling abilities, and working alongside seasoned data scientists who will guide you in developing necessary skills on the job. As a Data Analyst at DoorDash, you'll use your quantitative reasoning skills to dive into large datasets to guide decision-making. We tackle a multitude of exciting challenges including customer acquisition, fraud, and support, marketing, balancing supply and demand, new city launches, marketplace efficiency, and more. If you enjoy finding patterns amidst chaos and want to learn how to use analytics to affect revenue, growth, operations, or beyond, we’re looking for someone like you!

You’re Excited About This Opportunity Because You Will…

Get your start in Analytics and learn the ropes from seasoned Data Scientists. You’ll have important problems to solve from day one.
Use quantitative analysis and the presentation of data to see beyond the numbers and understand what drives our business.
Own the end-to-end experimentation process from opportunity identification and experimentation design to analyzing results and recommending next steps.
Build full-cycle analytics experiments, reports, and dashboards using SQL, R, Python, or other scripting and statistical tools.
Produce recommendations and use exploratory data analysis techniques to validate your findings.
Provide insights to help business and product leaders understand marketplace dynamics, user behaviors, and long-term trends.
Identify and measure product and business levers to focus our roadmap on moving key metrics
Work backward from understanding and sizing problems to ideating solutions
Report against our goals by identifying essential metrics and building executive-facing dashboards to track progress
Collaborate with engineering to implement, document, validate, and monitor our logging
Be a part of DoorDash’s first entry-level Analytics program!

We’re Excited About You Because…

A degree in Math, Physics, Statistics, Economics, Computer Science, Biology, Chemistry, or equivalent exposure to a quantitative domain
Curiosity about our business and products, and how we can improve them using data, analysis, and experimentation
High-level understanding of analytical concepts like funnel optimization, user segmentation, cohort analyses, time series analyses, regression models, etc
Basic knowledge of a data or scripting language (e.g., SQL, Python, R, matlab, etc.) and the desire to quickly develop mastery of SQL
Basic working knowledge of data manipulation and visualization techniques
Familiarity with statistical concepts related to experiment design, hypothesis testing, and predictive modeling
The insight to take ambiguous problems and solve them in a structured, hypothesis-driven, data-supported way
The determination to initiate and lead projects to completion in a scrappy environment
Prior experience, including internships, in data analytics, consulting, or related quantitative role is a plus but not required

Why You’ll Love Working at DoorDash

We are leaders – Leadership is not limited to our management team. It’s something everyone at DoorDash embraces and embodies.

We are operators – We believe the only way to predict the future is to build it. Creating solutions to lead our company and our industry is what we do on every project, every day.

We are learners – Everyone here is continually learning on the job, no matter if we’ve been in a role for one year or one minute. We are committed to learning and implementing what is best for our customers, merchants, and dashers.

We are one team – The magic of DoorDash is our people, together making our inspiring goals attainable and driving us to greater heights.

About DoorDash

At DoorDash, our mission to empower local economies shapes how our team members move quickly and always learn and reiterate to support merchants, Dashers and the communities we serve. We are a technology and logistics company that started with door-to-door delivery, and we are looking for team members who can help us go from a company that is known for delivering food to a company that people turn to for any and all goods. Read more on the DoorDash website, the DoorDash blog, the DoorDash Engineering blog, and the DoorDash Careers page.DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. Our leaders seek the truth and welcome big, hairy, audacious questions. We are grounded in our company values, and we make intentional decisions that are both logical and display empathy for our range of users—from Dashers to Merchants to Customers.

Pursuant to the San Francisco Fair Chance Ordinance, Los Angeles Fair Chance Initiative for Hiring Ordinance, and any other state or local hiring regulations, we will consider for employment any qualified applicant, including those with arrest and conviction records, in a manner consistent with the applicable regulation.

Pursuant to the Colorado Fair Pay Act, the base salary range in Colorado for this position is $86,000 to $129,000 per year, plus opportunities for equity and commission. Compensation in other geographies may vary. We're committed to supporting employees’ happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.

We're committed to supporting employees’ happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.

Our Commitment to Diversity and Inclusion

We’re committed to growing and empowering a more inclusive community within our company, industry, and cities. That’s why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel. Statement of Non-Discrimination: In keeping with our beliefs and goals, no employee or applicant will face discrimination or harassment based on: race, color, ancestry, national origin, religion, age, gender, marital/domestic partner status, sexual orientation, gender identity or expression, disability status, or veteran status. Above and beyond discrimination and harassment based on “protected categories,” we also strive to prevent other subtler forms of inappropriate behavior (i.e., stereotyping) from ever gaining a foothold in our office. Whether blatant or hidden, barriers to success have no place at DoorDash. We value a diverse workforce – people who identify as women, non-binary or gender non-conforming, LGBTQIA+, American Indian or Native Alaskan, Black or African American, Hispanic or Latinx, Native Hawaiian or Other Pacific Islander, differently-abled, caretakers and parents, and veterans are strongly encouraged to apply. Thank you to the Level Playing Field Institute for this statement of non-discrimination.If you need any accommodations, please inform your recruiting contact upon initial connection.
Show more Show less"
2794660146,"Data Analyst, Entry-Level",DoorDash,2021-11-16,United States,"Austin, TX",Information Technology,Full-time,"Marketing and Advertising, Computer Software, and Internet Publishing","About The Team

At DoorDash, we’re building the future of on-demand delivery. Our world-class team of Data Scientists is passionate about creating opportunities for others to become the next generation of data-driven decision-makers at DoorDash. Many of our best Data Scientists had no experience prior to transferring into the role. This is an excellent opportunity to jumpstart your Analytics career.

About The Role

Our goal is to develop our entry-level Data Analysts into thoughtful and strategic leaders. This means designing and running experiments in your first quarter at DoorDash, quickly becoming a SQL expert, developing your data storytelling abilities, and working alongside seasoned data scientists who will guide you in developing necessary skills on the job. As a Data Analyst at DoorDash, you'll use your quantitative reasoning skills to dive into large datasets to guide decision-making. We tackle a multitude of exciting challenges including customer acquisition, fraud, and support, marketing, balancing supply and demand, new city launches, marketplace efficiency, and more. If you enjoy finding patterns amidst chaos and want to learn how to use analytics to affect revenue, growth, operations, or beyond, we’re looking for someone like you!

You’re Excited About This Opportunity Because You Will…

Get your start in Analytics and learn the ropes from seasoned Data Scientists. You’ll have important problems to solve from day one.
Use quantitative analysis and the presentation of data to see beyond the numbers and understand what drives our business.
Own the end-to-end experimentation process from opportunity identification and experimentation design to analyzing results and recommending next steps.
Build full-cycle analytics experiments, reports, and dashboards using SQL, R, Python, or other scripting and statistical tools.
Produce recommendations and use exploratory data analysis techniques to validate your findings.
Provide insights to help business and product leaders understand marketplace dynamics, user behaviors, and long-term trends.
Identify and measure product and business levers to focus our roadmap on moving key metrics
Work backward from understanding and sizing problems to ideating solutions
Report against our goals by identifying essential metrics and building executive-facing dashboards to track progress
Collaborate with engineering to implement, document, validate, and monitor our logging
Be a part of DoorDash’s first entry-level Analytics program!

We’re Excited About You Because…

A degree in Math, Physics, Statistics, Economics, Computer Science, Biology, Chemistry, or equivalent exposure to a quantitative domain
Curiosity about our business and products, and how we can improve them using data, analysis, and experimentation
High-level understanding of analytical concepts like funnel optimization, user segmentation, cohort analyses, time series analyses, regression models, etc
Basic knowledge of a data or scripting language (e.g., SQL, Python, R, matlab, etc.) and the desire to quickly develop mastery of SQL
Basic working knowledge of data manipulation and visualization techniques
Familiarity with statistical concepts related to experiment design, hypothesis testing, and predictive modeling
The insight to take ambiguous problems and solve them in a structured, hypothesis-driven, data-supported way
The determination to initiate and lead projects to completion in a scrappy environment
Prior experience, including internships, in data analytics, consulting, or related quantitative role is a plus but not required

Why You’ll Love Working at DoorDash

We are leaders – Leadership is not limited to our management team. It’s something everyone at DoorDash embraces and embodies.

We are operators – We believe the only way to predict the future is to build it. Creating solutions to lead our company and our industry is what we do on every project, every day.

We are learners – Everyone here is continually learning on the job, no matter if we’ve been in a role for one year or one minute. We are committed to learning and implementing what is best for our customers, merchants, and dashers.

We are one team – The magic of DoorDash is our people, together making our inspiring goals attainable and driving us to greater heights.

About DoorDash

At DoorDash, our mission to empower local economies shapes how our team members move quickly and always learn and reiterate to support merchants, Dashers and the communities we serve. We are a technology and logistics company that started with door-to-door delivery, and we are looking for team members who can help us go from a company that is known for delivering food to a company that people turn to for any and all goods. Read more on the DoorDash website, the DoorDash blog, the DoorDash Engineering blog, and the DoorDash Careers page.DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. Our leaders seek the truth and welcome big, hairy, audacious questions. We are grounded in our company values, and we make intentional decisions that are both logical and display empathy for our range of users—from Dashers to Merchants to Customers.

Pursuant to the San Francisco Fair Chance Ordinance, Los Angeles Fair Chance Initiative for Hiring Ordinance, and any other state or local hiring regulations, we will consider for employment any qualified applicant, including those with arrest and conviction records, in a manner consistent with the applicable regulation.

Pursuant to the Colorado Fair Pay Act, the base salary range in Colorado for this position is $86,000 to $129,000 per year, plus opportunities for equity and commission. Compensation in other geographies may vary. We're committed to supporting employees’ happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.

We're committed to supporting employees’ happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.

Our Commitment to Diversity and Inclusion

We’re committed to growing and empowering a more inclusive community within our company, industry, and cities. That’s why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel. Statement of Non-Discrimination: In keeping with our beliefs and goals, no employee or applicant will face discrimination or harassment based on: race, color, ancestry, national origin, religion, age, gender, marital/domestic partner status, sexual orientation, gender identity or expression, disability status, or veteran status. Above and beyond discrimination and harassment based on “protected categories,” we also strive to prevent other subtler forms of inappropriate behavior (i.e., stereotyping) from ever gaining a foothold in our office. Whether blatant or hidden, barriers to success have no place at DoorDash. We value a diverse workforce – people who identify as women, non-binary or gender non-conforming, LGBTQIA+, American Indian or Native Alaskan, Black or African American, Hispanic or Latinx, Native Hawaiian or Other Pacific Islander, differently-abled, caretakers and parents, and veterans are strongly encouraged to apply. Thank you to the Level Playing Field Institute for this statement of non-discrimination.If you need any accommodations, please inform your recruiting contact upon initial connection.
Show more Show less"
